id,term,normalized_term,language,category,description,example,aliases,regex_pattern,notes,,,,,,,,,,
54,косяк,косяк,ru,general,Способ употребления,Сделал косяк,джойнт, трубка, бонг, бульбулятор, водник, папироса,косяк|джойнт|трубка|бонг|бульбулятор|водник|папироса,,,,,,
55,накуриться,накуриться,ru,general,Процесс употребления,Хотел накуриться,убиться, дунуть, зависнуть, улететь, словить хай,накуриться|убиться|дунуть|зависнуть|улететь|словить хай,,,,,,,
56,хай,хай,ru,drug_effect,Эффект,Уровень хай высокий,кайф, релакс, приход, балдёж, облом, без травки, сушняк,хай|кайф|релакс|приход|балдёж|облом|без травки|сушняк,,,,,
57,спайс,спайс,ru,drugs,Синтетический каннабиноид,Спайс купил,миксы, легалка, химия, травка,спайс|миксы|легалка|химия|травка,,,,,,,,
58,соль,соль,ru,drugs,Синтетический стимулятор,Соль купил,скорость, кристаллы, мука,соль|скорость|кристаллы|мука,,,,,,,,,
59,внюхаться,внюхаться,ru,general,Способ употребления,Внюхался,нюхать, курить, употреблять внутривенно,внюхаться|нюхать|курить|употреблять внутривенно,,,,,,,,,
60,приход,приход,ru,drug_effect,Эффект,Приход сильный,эйфория, стимуляция, галлюцинации, изменённое сознание,приход|эйфория|стимуляция|галлюцинации|изменённое сознание,,,,,,,,
61,передоз,передоз,ru,drug_effect,Негативный эффект,Был передоз,отравление, психоз, бэд-трип, шиза, перекрыло,передоз|отравление|психоз|бэд-трип|шиза|перекрыло,,,,,,,
62,баян,баян,ru,instruments,Шприц,Взял баян,шприц, аппарат, машина, ложка, фольга, трубка, малява, грев, ксива, крыша, барыга,баян|шприц|аппарат|машина|ложка|фольга|трубка|малява|грев|ксива|крыша|барыга,
63,диск,диск,ru,drugs,Форма психоактивного вещества (таблетка),Одна из 5 таблов была как порошок. Диски хорошие - сердца,,диск,,,,,,,,,,,
64,таблетка,таблетка,ru,drugs,Частая форма употребления наркотика,Сами таблы хорошие, опытным можно сразу целую кушать,табл,таблетка|табл,,,,,,,,,,
65,шкуроход,шкуроход,ru,drug_trade,Человек, который ищет или забирает закладки,Место как по мне очевидное для шкуроходов,,шкуроход,,,,,,,,,,
66,кокос,кокос,ru,drugs,Часто употребляемая форма амфетамина/кокаина,Кокс хорошего качества,кокс,кокос|кокс,,,,,,,,,,,
67,аптека,аптека,ru,general,иметь доступ к лекарственным препаратам, употребляемых в качестве наркотиков,,,аптека,,,,,,,,,,
68,кассета,кассета,ru,drugs,название вощеной бумажки с дозой наркотика,,кассета,абстяга|кассета,,,,,,,,,,,
69,база,база,ru,drug_trade,место приобретения наркотика,,,база,,,,,,,,,,,
70,банкир,банкир,ru,drug_trade,человек, самодельно изготавливающий наркотики,,,банкир,,,,,,,,,,
71,банковать,банковать,ru,drug_trade,продавать самодельно изготовившийся наркотик,,,банковать,,,,,,,,,,,
72,барыга,барыга,ru,drug_trade,продавец героина, контактирующий с покупателем,,,барыга,,,,,,,,,,
73,беда,беда,ru,drugs,наркотики,,,беда,,,,,,,,,,,
74,бзикнуться,бзикнуться,ru,general,пристраститься к чему-то (бзикнуться на колесах),,,бзикнуться,,,,,,,,,,,
75,болты,болты,ru,drug_effect,вытаращенные глаза наркомана, который находится в опьяненном состоянии,,,болты,,,,,,,,,,
76,брахман,брахман,ru,drug_trade,продавец галлюциногенами,,,брахман,,,,,,,,,,,
77,бээфник,бээфник,ru,drug_trade,наркоман, употребляющий клей, сам токсикоман презрительно относится к слову,,,бээфник,,,,,,,,,
78,веревка,веревка,ru,general,вена,,,веревка,,,,,,,,,,,
79,вмазка,вмазка,ru,general,принять дозу,,,вмазка,,,,,,,,,,,
80,вольты,вольты,ru,drug_effect,галлюцинации и различные обманы восприятия,,,вольты,,,,,,,,,,,
81,впаривать,впаривать,ru,drug_trade,продать разбавленный наркотик,,,впаривать,,,,,,,,,,,
82,втертый,втертый,ru,drug_effect,человек, находящийся под наркотическим действием,,,втертый,,,,,,,,,,
83,втирать,втирать,ru,drug_trade,обманывать,,,втирать,,,,,,,,,,,
84,глюк,глюк,ru,drug_effect,(ловить глюки) галлюцинации,,,глюк,,,,,,,,,,,
85,гараж,гараж,ru,instruments,колпачок для шприца,,,гараж,,,,,,,,,,,
86,гонец,гонец,ru,drug_trade,мелкий торговец наркотических веществ,,,гонец,,,,,,,,,,,
87,грибница,грибница,ru,general,традиционное место группового приема галлюциногенов (чаще всего загородная дача),,,грибница,,,,,,,,,,,
88,двинутый,двинутый,ru,drug_effect,наркоман в опьянении или человек, сошедший с ума,,,двинутый,,,,,,,,,,
89,дербан,дербан,ru,general,территория или время сбора наркотического растительного сырья: «Поехать на дербан», «Пора дербанить»,,,дербан,,,,,,,,,,
90,деревяшка,деревяшка,ru,drugs,ампула с готовым наркотиком (как правило, лекарственного происхождения),,,деревяшка,,,,,,,,,,
91,депресняк,депресняк,ru,drug_effect,состояние плохого настроения и отсутствие энергии в период отмены наркотика,,,депресняк,,,,,,,,,,,
92,дискотня,дискотня,ru,general,дискотека,,дискотуха,дискотня|дискотуха,,,,,,,,,,,
93,йог,йог,ru,drug_trade,наркоман, употребляющий LSD, посетитель технодискотек,,,,,,,,,,,,
94,догоняться,догоняться,ru,general,принять повторную дозу наркотика после того, как первая показалась недостаточной для достижения кайфа,,,догоняться,,,,,,,,,,
95,доза,доза,ru,drugs,чаще всего вощеная бумажка с 0,05 граммами героина, иногда дозировка, необходимая для достижения кайфа («моя доза»),,дозняк,доза|дозняк,,,,,,,,
96,кимарить,кимарить,ru,general,быть токсикоманом (нюхать пары тех или иных веществ),,кимарить,кимарить,,,,,,,,,,,
97,драга,драга,ru,drugs,аптека,,,драга,,,,,,,,,,,
98,драч,драч,ru,drugs,наркотик (чаще анаша),,,драч,,,,,,,,,,,
99,дрянь,дрянь,ru,drugs,наркотик,,,дрянь,,,,,,,,,,,
100,дует,дует,ru,general,прокол шприцем стенки вены, образование подкожного инфильтрата,,,дует,,,,,,,,,,
101,дуплет,дуплет,ru,general,прием двух или более наркотиков одновременно (возможно наркотика вместе с водкой),,дуплить, отдуплиться,дуплет|дуплить|отдуплиться,,,,,,,,,,
102,дупло,дупло,ru,drugs,прием двух или более наркотиков одновременно (возможно наркотика вместе с водкой),,,дупло,,,,,,,,,,,
103,кислота,кислота,ru,drugs,наиболее распространенное название ЛСД,,кислота,кислота,,,,,,,,,,,
104,книжка,книжка,ru,drugs,пакетик с наркотиком, наркотики,,книжка,книжка,,,,,,,,,,
105,духарь,духарь,ru,drug_trade,искатель эзотерической истины. Сегодня очень часто применяется по отношению к людям, систематически принимающим галлюциногены,,,духарь,,,,,,,,,,
106,духовка,духовка,ru,drug_trade,компания духарей,,,духовка,,,,,,,,,,,
107,дырка,дырка,ru,drug_trade,незатягивающийся след от иньекции,,,дырка,,,,,,,,,,,
108,ерник,ерник,ru,instruments,ложка, в которой разводят водой порошок наркотика,,,ерник,,,,,,,,,,
109,жила,жила,ru,drugs,вена,,,жила,,,,,,,,,,,
110,жмых,жмых,ru,drugs,низкокачественный опий — сырец,,,жмых,,,,,,,,,,,
111,забодяжить,забодяжить,ru,drugs,то же, что и бодяжить,,,забодяжить,,,,,,,,,,
112,забой,забой,ru,drugs,музыка, рок («Под забой и ширнуться в кайф»),,,забой,,,,,,,,,,
113,зависать,зависать,ru,drugs,состояние суженого сознания с потерей чувства времени и застревание в притоне или компании,,зависнуть,зависать|зависнуть,,,,,,,,,,,
114,колесник,колесник,ru,drug_trade,наркоман, употребляющий таблетки,,колесник,колесник,,,,,,,,,,
115,завял,завял,ru,drugs,характеристики эпилептического припадка, потери сознания или смерти, связанных с приемом наркотика («… догнался Коля и завял»),,,завял,116,колотушка,колотушка,ru,drugs,печать на рецепте.,,,колотушка
116,колотушка,колотушка,ru,drugs,печать на рецепте,,,колотушк,,,,,,,,,,,
117,конь,конь,ru,drugs,емкость с наркотиком (пакетик, пузырек, облатка) Чаще всего это слово применяется по отношению к упаковке, в которой наркотик передается в тюрьму или больницу,,,конь,,,,,,,,
118,корабль,корабль,ru,drugs,бумажный пакетик с марихуаной «Корабли» бывают «однопалубные», «двухпалубные» и «трехпалубные» — в зависимости от количества находящейся в пакете марихуаны,,,корабль,,,,,,,,,,
119,кормушка,кормушка,ru,drugs,аптека или больница,,,кормушка,,,,,,,,,,,
120,косуха,косуха,ru,drugs,редкое названия дозы героина, как правило, подразумевает плохое качество «товара» Иногда точно так же называют папиросу или самокрутку с марихуаной,,,косуха,,,,,,,,,
121,крест,крест,ru,drugs,аптека,,,крест,,,,,,,,,,,
122,кресты,кресты,ru,drugs,аптека,,,кресты,,,,,,,,,,,
123,кубейка,кубейка,ru,drugs,1 миллилитр готового раствора наркотика,,,кубейка,,,,,,,,,,,
124,куб,куб,ru,drugs,1 миллилитр готового раствора наркотика,,,куб,,,,,,,,,,,
125,купец,купец,ru,drugs,более крупный продавец наркотика, как правило, общающийся не с наркоманами, а с барыгами,,,купец,,,,,,,,
126,лекарство,лекарство,ru,drugs,наркотик,,,лекарство,,,,,,,,,,,
127,лепила,лепила,ru,drugs,медицинский работник, у которого можно приобрести наркотики или рецепты,,,лепила,,,,,,,,,,
128,лечиться,лечиться,ru,drugs,приходить в себя во время синдрома отмены наркотика,,,лечиться,,,,,,,,,,,
129,личнуха,личнуха,ru,drugs,подделанная личная печать врача,,,личнуха,,,,,,,,,,,
130,ломки,ломки,ru,drugs,испытывать острую часть синдрома отмены наркотика,,,ломки,,,,,,,,,,,
131,ломаться,ломаться,ru,drugs,испытывать острую часть синдрома отмены наркотика,,,ломаться,,,,,,,,,,,
132,мазальщик,мазальщик,ru,drugs,опытный наркоман, умеющий хорошо делать иньекции,,,мазальщик,,,,,,,,,,
133,мазной,мазной,ru,drugs,опытный наркоман, умеющий хорошо делать иньекции,,,мазной,,,,,,,,,,
134,малява,малява,ru,drugs,рецептурный бланк,,,малява,,,,,,,,,,,
135,малюшка,малюшка,ru,drugs,рецептурный бланк,,,малюшка,,,,,,,,,,,
136,макил,макил,ru,drugs,человек, меняющий вещи на наркотики, торговец наркотиками или сам процесс обмена,,,макил,,,,,,,,,
137,макля,макля,ru,drugs,человек, меняющий вещи на наркотики, торговец наркотиками или сам процесс обмена,,,макля,,,,,,,,,
138,махил,махил,ru,drugs,человек, меняющий вещи на наркотики, торговец наркотиками или сам процесс обмена,,,махил,,,,,,,,,
139,марафет,марафет,ru,drugs,наркотики,,,марафет,,,,,,,,,,,
140,марафон,марафон,ru,drugs,длительное постоянное употребление наркотиков (особенно галлюциногенов) или употребление наркотиков на танцах,,,марафон,,,,,,,,,,,
141,марца,марца,ru,drugs,самодельные наркотические вещества, изготовляемые с применением марганцовокислого калия,,,марца,,,,,,,,,,
142,марцан,марцан,ru,drugs,самодельные наркотические вещества, изготовляемые с применением марганцовокислого калия,,,марцан,,,,,,,,,,
143,марцефаль,марцефаль,ru,drugs,самодельные наркотические вещества, изготовляемые с применением марганцовокислого калия,,,марцефаль,,,,,,,,,,
144,марцовка,марцовка,ru,drugs,самодельные наркотические вещества, изготовляемые с применением марганцовокислого калия,,,марцовка,,,,,,,,,,
145,масса,масса,ru,drugs,большая доза наркотиков,,,масса,,,,,,,,,,,
146,мулька,мулька,ru,drugs,любые наркотики, включая эфедрон или лекарства от простуды,,,мулька,,,,,,,,,,
147,мутить,мутить,ru,drugs,длительный процесс получения и употребления героина, включающий добычу денег, поиск продавца, компании, места приема,,,мутить,,,,,,,
148,замутить,замутить,ru,drugs,длительный процесс получения и употребления героина, включающий добычу денег, поиск продавца, компании, места приема,,,замутить,,,,,,,
149,нарк,нарк,ru,drugs,наркоман,,,нарк,,,,,,,,,,,
150,нарком,нарком,ru,drugs,наркоман,,,нарком,,,,,,,,,,,
151,наркот,наркот,ru,drugs,наркоман,,,наркот,,,,,,,,,,,
152,наркота,наркота,ru,drugs,наркоман,,,наркота,,,,,,,,,,,
153,наркоша,наркоша,ru,drugs,наркоман,,,наркоша,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,
155,номерной,номерной,ru,drugs,новые образцы рецептурных бланков с номерами,,,номерной,,,,,,,,,,,
156,огород,огород,ru,drugs,подпольная плантация конопли, мака или место (подвал) выращивания галлюциногенных грибов,,,огород,,,,,,,,,,
157,отжимать,отжимать,ru,drugs,экстрагировать наркотик из отвара или сырья,,,отжим,,,,,,,,,,,
158,паль,паль,ru,drugs,наиболее дешевый наркотик,,,паль,,,,,,,,,,,
159,первак,первак,ru,drugs,первый, качественный раствор наркотика,,,перва,,,,,,,,,,
160,пласт,пласт,ru,general,упаковка таблетированных лекарств,,блистер,пласт,,,,,,,,,,,
161,повар,повар,ru,drug_trade,изготовитель самодельных наркотиков,,,повар,,,,,,,,,,,
162,подвиг,подвиг,ru,drug_effect,прием наркотиков,,,подви,,,,,,,,,,,
163,подогреть,подогреть,ru,drug_trade,угостить маленькой дозой наркотика,,,подог,,,,,,,,,,,
164,поискуха,поискуха,ru,drug_effect,состояние суженного сознания во время отмены наркотиков, выражающееся в непрерывном поиске наркотиков или предметов,,искуха,поиск,,,,,,,,,,
165,понюшка,понюшка,ru,drugs,доза наркотика для вдыхания носом,,,понюш,,,,,,,,,,,
166,продавать весом,продавать весом,ru,drug_trade,продавать героин не менее чем по 1 грамму,,,прода,,,,,,,,,,,
167,пунш,пунш,ru,drugs,смесь спиртного с таблетками и наркотиками,,,пунш,,,,,,,,,,,
168,пушер,пушер,ru,drug_trade,мелкий торговец наркотиками,,дилер,пушер,,,,,,,,,,,
169,пыха,пыха,ru,drugs,курево, часто наркотическое,,пыхать,пыхнуть,пыха,,,,,,,,,
170,разбодяжить,разбодяжить,ru,drug_trade,разбавить наркотик для перепродажи,,бодяжить,разбо,,,,,,,,,,,
171,релашка,релашка,ru,drugs,транквилизатор, используемый как наркотик или при синдроме отмены,,,релаш,,,,,,,,,,
172,рисовать,рисовать,ru,drug_trade,изготавливать поддельный рецепт,,,рисов,,,,,,,,,,,
173,художник,художник,ru,drug_trade,человек, делающий поддельные рецепты,,,худож,,,,,,,,,,
174,сонник,сонник,ru,drugs,снотворное или наркотик для сна,,,сонни,,,,,,,,,,,
175,сопля,сопля,ru,general,малолетний наркоман или токсикоман,,сопель,сопля,,,,,,,,,,,
176,стекло,стекло,ru,drugs,ампула с наркотиком, медицинские наркотики,,,стекл,,,,,,,,,,
177,таблетолог,таблетолог,ru,general,наркоман, употребляющий таблетки или врач-нарколог,,таблеточник,табле,,,,,,,,,,
178,таска,таска,ru,drug_effect,удовольствие от наркотиков,,,таска,,,,,,,,,,,
179,терка,терка,ru,drug_trade,поддельный врачебный рецепт,,,терка,,,,,,,,,,,
180,терочная,терочная,ru,general,аптека,,,тероч,,,,,,,,,,,
181,толкушка,толкушка,ru,drug_trade,поддельный врачебный рецепт,,,толку,,,,,,,,,,,
182,торчок,торчок,ru,general,наркоман,,,торчо,,,,,,,,,,,
183,точка,точка,ru,drug_trade,место покупки наркотиков,,,точка,,,,,,,,,,,
184,травник,травник,ru,drugs,наркоман, курящий марихуану или изготовитель галлюциногенов,,,травн,,,,,,,,,,
185,треуголка,треуголка,ru,drug_trade,поддельная треугольная печать поликлиники,,,треуг,,,,,,,,,,,
186,уголок,уголок,ru,drugs,самокрутка с марихуаной,,,уголо,,,,,,,,,,,
187,фантик,фантик,ru,drugs,пустая облатка от наркотика,,,фанти,,,,,,,,,,,
188,фуфырь,фуфырь,ru,drugs,пузырек с наркотиком,,,фуфыр,,,,,,,,,,,
189,хабар,хабар,ru,drug_trade,доход или прибыль от перепродажи наркотиков,,хабара,хабар,,,,,,,,,,,
190,хала,хала,ru,general,легкий доход,,,хала,,,,,,,,,,,
191,ханка,ханка,ru,drugs,наркотики,,,ханка,,,,,,,,,,,
192,химик,химик,ru,drug_trade,производитель или потребитель наркотиков,,,химик,,,,,,,,,,,
193,химия,химия,ru,drugs,наркотики или токсические вещества,,,химия,,,,,,,,,,,
194,хи-хи,хи-хи,ru,general,психиатрическая или наркологическая больница,,,хи-хи,,,,,,,,,,,
195,цикл,цикл,ru,drugs,циклодол,,цикла,циклуха,цикл,,,,,,,,,,
196,циклить,циклить,ru,drug_effect,употреблять циклодол как наркотик,,цикловать,циклодолить,цикли,,,,,,,,,,
197,чадить,чадить,ru,drug_effect,курить сигарету с наркотиком,,,чадит,,,,,,,,,,,
198,чинить,чинить,ru,drug_effect,проходить лечение,,чиниться,чинит,,,,,,,,,,,
199,чума,чума,ru,drugs,наркотик,,,чума,,,,,,,,,,,
200,чумовой,чумовой,ru,drug_effect,находящийся под действием наркотиков,,,чумов,,,,,,,,,,,
201,шаман,шаман,ru,drugs,человек, употребляющий галлюциногены,,,шаман,,,,,,,,,,
202,шар,шар,ru,drugs,1 мл раствора наркотика,,,шар,,,,,,,,,,,
203,ширка,ширка,ru,drugs,наркотики или шприц,,,ширка,,,,,,,,,,,
204,ширево,ширево,ru,drugs,наркотики,,ширевка,ширь,ширев,,,,,,,,,,
205,шлак,шлак,ru,drug_trade,сырье для изготовления наркотиков,,,шлак,,,,,,,,,,,
206,шмаль,шмаль,ru,drugs,сигареты с наркотиком,,,шмаль,,,,,,,,,,,
207,шпиганка,шпиганка,ru,drugs,доза наркотика,,,шпига,,,,,,,,,,,
208,штакет,штакет,ru,drugs,сигарета с наркотиком,,штакетина,штаке,,,,,,,,,,,
209,эфедринить,эфедринить,ru,drug_effect,употреблять эфедрин,,эфедринщик,эфедр,,,,,,,,,,,
210,яд,яд,ru,drugs,наркотик,,,яд,,,,,,,,,,,
,,Айс,,,форма мефедрина для курения.,,,,,,,,,,,,,,
,,Азот,,,таблетки азидотимидина.,,,,,,,,,,,,,,
,,Киборг,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Би-Бах,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Гиблый,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Амфа,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Витамин,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
,,Пекс,,,"Бырик, СП, Сапоги, Шустрый Бырятина, Быревич, Бырюга, Володарский, Семен Петрович, Порох, На Лебедюхе. — Шпиг, Шпэк, Сапоги, Скакалки, Шмыгарь Боб, Сало, Тренажор, Спидулин, Носы, Порох, S, Фэка, Шпага, Бомжатина — амфетамин.",,,,,,,,,,,,,,
